banner_id,company_name,banner_text,holding_date,expiry_date,latitude,longitude,location
B001,Santevita Hospital,Surgical excellence Exceptional Care.,01/01/2025,12/31/2025,23.358535,85.308226,Ranchi
B002,Vrinda jewellers,S7.99% Making charges flat 12.5% discount on diamond jewellery value,02/15/2025,06/25/2025,23.358263, 85.308301,Ranchi
B003,Sharda Shelters,30+ amenities sharda shelters private limited,03/10/2025,08/15/2025,23.358464,85.308399,Ranchi
B004,Home of comfortable and sophisticated lifestyle,rera approved book now,04/05/2025,07/23/2025,23.358453,85.308762,Ranchi
B0005,Medha Milk, shrawani mela hi hardik shubkamnayein, 07/01/2025,07/21/2025,23.358290,85.307800,Ranchi
B0006, Kuldip Sons Jewellers, Gold | Diamond | Antique, 05/03/2025,07/30/2025, 23.358320, 85.307762, Ranchi
B0007, Sharda Global School, Admission Open, 06/21/2025, 08/12/2025, 23.35830, 85.307762, Ranchi
B0008, Maruti Suzuki Arena, Comming Soon, 07/15/2025, 07/21/2025, 23.358300, 85.307800, Ranchi
B0009, ALKA JEWELLERS, ONE STOP WEDDING DESTINATION, 08/01/2025, 09/30/2025, 23.358538, 85.308213, Ranchi
B0010, SEVEN STARS ACADEMY, Science Commerce Humanities, 05/12/2025, 06/21/2025, 23.358300, 85.307810, Ranchi
B0011, BIOME, Neet Ug result 2025, 05/12/2025, 05/21/2025, 23.358520, 85.308220, Ranchi
B0012,Medha Milk, श्रावणी मेला की हार्दिक शुभकामनाये, 06/12/2025,08/01/2025, 23.358290, 85.307800, Ranchi